"TRT","GR","MO","AB","AL","AO","LU","ME","OD","OL","PD","RN","RR","UN"
"A1",21,9608,1,13,0,0,4,0,4,7,0,0,0
"A1",21,9610,1,13,0,0,0,0,5,19,0,0,0
"A1",21,9612,2,11,2,0,1,0,7,7,0,0,0
"A1",21,9702,1,13,5,2,3,0,37,9,0,0,0
"A1",21,9704,1,14,2,1,2,0,16,5,0,0,0
"A1",21,9707,0,14,4,0,3,0,5,14,0,0,2
"A1",21,9710,0,24,4,0,0,0,0,9,0,0,0
"A1",21,9802,1,38,13,1,0,0,0,2,1,0,0
"A1",21,9808,0,34,69,1,0,3,1,13,0,0,0
"A1",21,9902,0,15,4,0,0,1,4,3,0,0,0
"A1",21,9905,1,15,2,0,0,1,9,4,0,0,0
"A1",21,9907,1,14,2,0,0,0,23,2,0,0,0
"A1",21,9911,0,17,1,0,0,0,0,0,0,0,0
"A1",21,200002,0,10,2,0,1,3,20,0,0,0,0
"A1",21,200005,0,15,0,0,0,0,22,0,0,0,0
"A1",21,200008,1,17,4,0,1,0,14,1,0,0,0
"A1",21,200103,1,26,26,0,4,2,3,12,0,0,0
"A1",21,200108,1,22,16,0,5,0,1,23,0,0,0
"A1",21,200202,1,28,37,1,3,20,5,14,0,0,0
"A1",21,200208,0,29,18,0,4,1,10,16,0,0,0
"A1",21,200302,1,24,5,0,1,13,5,11,0,0,0
"A1",21,200308,1,18,1,0,1,4,0,7,0,0,1
"A2",22,9608,0,2,0,0,0,1,1,8,0,0,0
"A2",22,9610,1,12,0,0,0,0,0,9,0,0,0
"A2",22,9612,1,7,0,0,1,1,0,20,0,0,0
"A2",22,9702,1,9,1,0,2,4,11,52,0,0,0
"A2",22,9704,0,5,2,0,1,4,3,27,0,0,0
"A2",22,9707,1,9,2,0,1,2,2,14,0,0,0
"A2",22,9710,0,12,7,0,0,0,0,8,0,0,0
"A2",22,9802,1,26,17,1,3,2,1,11,0,0,0
"A2",22,9808,1,18,22,0,2,6,1,10,0,0,0
"A2",22,9902,1,3,1,0,0,3,0,13,0,0,0
"A2",22,9905,1,10,1,0,1,9,5,12,0,0,0
"A2",22,9907,0,7,0,0,0,4,3,2,0,0,0
"A2",22,9911,0,7,1,0,0,2,1,0,0,0,0
"A2",22,200002,0,6,0,0,1,3,0,5,0,0,0
"A2",22,200005,0,7,1,0,0,1,6,5,0,0,0
"A2",22,200008,0,4,4,0,1,1,1,2,0,0,0
